url,type
https://v-vpass-jp.ddxvj.cn,bad
https://v-vpass-jp.ldkls.cn,bad
https://www.petaloso.shop/update.plala.or.jp/sso.login/login2.php,bad
https://arntours.com//Activeplalawebmailupdate/Sites/index.html,bad
https://ywcccapstone.com//Activeplalawebmailupdate/Sites/index.html,bad
https://allegrolokalnie.pl-oferta73901248.cfd,bad
https://backupcenter-exodus.vercel.app,bad
https://spacefoodpro.us/1/index.php?eml=redacted@abuse.ionos.com,bad
https://harmonious-patterns-037069.framer.app/,bad
https://marvelous-state-083672.framer.app/,bad
https://hometrade-nomura.02mh91.top/mbbonaoy/,bad
https://spiky-lottery-629084.framer.app/,bad
https://pages-trezor-io-login.typedream.app/,bad
https://help-support-start-trezrio.typedream.app/,bad
https://www.texasmusicdiscovery.kurtandmelissa.com/mellopop/wp-content/plugins/updraftplus/vendor/rackspace/php-opencloud/lib/OpenCloud/CDN/ValidateData/viewer-ms-do/email-plugin-read/aW9ub3Nlcw**/attach-viewer-main/ZXZlbnRvc0BoYWNpZW5kYW5heGFtZW5hLWliaXphLmNvbQ**,bad
https://axalor.cfd/co.jp.ETGate/,bad
https://ipfs.io/ipfs/bafybeiaha4auowl7nlmtbdm4z6chsaxjweqiiovpogn55f6cweszvz2oli,bad
https://meek-support.netlify.app/,bad
http://zelir.cfd/jp/,bad
https://ipfs.io/ipfs/bafybeieh7q2byghrxgytiazjwfrlppflp4lweefvcxnxo434saozz57344,bad
https://shaggy-variation-568526.framer.app/,bad
https://telstraadministrativesupport.framer.website/,bad
https://ipfs.io/ipfs/bafkreihbxvhylrhunz4d5p6wdbtswqy2nee5kdhbmk3m4qfs5jvhrmoqcu,bad
https://ipfs.io/ipfs/bafkreiazq6qeiuglecu4wxgpekf3r5eofefby57lfqd7waw7xis3hpvrvi,bad
https://trturksars.click/,bad
https://satisfied-pineapple-531901.framer.app/,bad
https://attlogin103235-100122.weeblysite.com/,bad
https://mirudo.cfd/11140,bad
https://free-audience-989454.framer.app/,bad
https://andel-energi.blogspot.com/,bad
https://pixors.cfd/co.jp.ETGate/,bad
https://reurl.cc/mYE5Q9,bad
http://a4054.cn/gg1/d1/w22a=doocomossa/,bad
https://a4054.cn/gg1/d1/w22a=doocomossa,bad
https://www-paypay-bank.7smjvx.top/elkyqxaj/,bad
https://www-paypay-bank.7g1ty2.top/elkyqxaj/,bad
https://www-paypay-bank.hxppnh.top/elkyqxaj/,bad
https://www-paypay-bank.yu9lun.top/elkyqxaj/,bad
https://www-paypay-bank.zhs345.top/elkyqxaj/,bad
http://allegrolokalnie.pl-oferta73901248.cfd/,bad
https://allegrolokalnie.82638013.sbs/?id=13BdJC92OE68aAoi81jA6478bcm993,bad
https://nexil.cfd/co.jp.ETGate/,bad
https://pancake.swapsfianance.top/swap,bad
https://avanzapich1ncha.webcindario.com/,bad
https://i19bct-aq.myshopify.com/discount/EAA64Z98,bad
https://i19bct-aq.myshopify.com/discount/EAGL8GMO,bad
https://oi.groovepages.com/ia,bad
https://physical-state-924166.framer.app/,bad
https://www.bluffsidemedia.com/att?hxxps://i19bct-aq.myshopify.com/discount/EAA64Z98,bad
https://www.bluffsidemedia.com/att?hxxps://i19bct-aq.myshopify.com/discount/EAGL8GMO,bad
http://1kbdfrb1.r.eu-west-1.awstrack.me/L0/http:%2F%2Fsession35.com%2Fwp-admin%2Fnetwork%2Fblog%2F/1/0102019a2bf0e118-6e38731d-f382-4dd1-a140-6bdc117f1e21-000000/FrGLIG_Lbxwpt5uliB7RAGbt17s=450,bad
